RegionID,RegionName,RegionType
394913,"New York, NY",msa
753899,"Los Angeles, CA",msa
394463,"Chicago, IL",msa
394514,"Dallas, TX",msa
394692,"Houston, TX",msa
395209,"Washington, DC",msa
394974,"Philadelphia, PA",msa
394976,"Phoenix, AZ",msa
394404,"Boston, MA",msa
395057,"San Francisco, CA",msa
395025,"Riverside, CA",msa
395078,"Seattle, WA",msa
394865,"Minneapolis, MN",msa
395056,"San Diego, CA",msa
394530,"Denver, CO",msa
395121,"St. Louis, MO",msa
394358,"Baltimore, MD",msa
395055,"San Antonio, TX",msa
394998,"Portland, OR",msa
395045,"Sacramento, CA",msa
394775,"Las Vegas, NV",msa
394982,"Pittsburgh, PA",msa
394355,"Austin, TX",msa
395059,"San Jose, CA",msa
395194,"Virginia Beach, VA",msa
395005,"Providence, RI",msa
394862,"Milwaukee, WI",msa
394935,"Oklahoma City, OK",msa
394910,"New Orleans, LA",msa
394807,"Louisville, KY",msa
394669,"Hartford, CT",msa
395031,"Rochester, NY",msa
394619,"Fresno, CA",msa
753924,"Urban Honolulu, HI",msa
395238,"Worcester, MA",msa
394415,"Bridgeport, CT",msa
394357,"Bakersfield, CA",msa
394308,"Albany, NY",msa
394367,"Baton Rouge, LA",msa
394908,"New Haven, CT",msa
394952,"Oxnard, CA",msa
395134,"Stockton, CA",msa
394484,"Colorado Springs, CO",msa
394798,"Little Rock, AR",msa
394531,"Des Moines, IA",msa
394304,"Akron, OH",msa
395115,"Springfield, MA",msa
394816,"Madison, WI",msa
395160,"Toledo, OH",msa
394711,"Jackson, MS",msa
394666,"Harrisburg, PA",msa
394871,"Modesto, CA",msa
394768,"Lancaster, PA",msa
395068,"Santa Rosa, CA",msa
394761,"Lafayette, LA",msa
395019,"Reno, NV",msa
395195,"Visalia, CA",msa
395244,"York, PA",msa
395183,"Vallejo, CA",msa
395048,"Salem, OR",msa
395050,"Salinas, CA",msa
394502,"Corpus Christi, TX",msa
394327,"Anchorage, AK",msa
394972,"Peoria, IL",msa
395096,"Shreveport, LA",msa
394372,"Beaumont, TX",msa
394576,"Eugene, OR",msa
394520,"Davenport, IA",msa
394875,"Montgomery, AL",msa
394332,"Ann Arbor, MI",msa
394602,"Fort Collins, CO",msa
394697,"Huntington, WV",msa
394796,"Lincoln, NE",msa
394645,"Greeley, CO",msa
394405,"Boulder, CO",msa
394808,"Lubbock, TX",msa
394579,"Evansville, IN",msa
395061,"San Luis Obispo, CA",msa
394851,"Merced, CA",msa
394772,"Laredo, TX",msa
394447,"Cedar Rapids, IA",msa
395103,"Sioux Falls, SD",msa
394412,"Bremerton, WA",msa
395065,"Santa Cruz, CA",msa
394572,"Erie, PA",msa
394483,"College Station, TX",msa
394323,"Amarillo, TX",msa
394924,"Norwich, CT",msa
394455,"Charleston, WV",msa
394585,"Fargo, ND",msa
394378,"Bellingham, WA",msa
394454,"Champaign, IL",msa
395030,"Rochester, MN",msa
394848,"Medford, OR",msa
394459,"Charlottesville, VA",msa
394361,"Barnstable Town, MA",msa
394464,"Chico, CA",msa
394763,"Lake Charles, LA",msa
394691,"Houma, LA",msa
394565,"Elkhart, IN",msa
395114,"Springfield, IL",msa
394680,"Hilo, HI",msa
395118,"St. Cloud, MN",msa
394872,"Monroe, LA",msa
394860,"Midland, TX",msa
394559,"El Centro, CA",msa
395018,"Redding, CA",msa
395246,"Yuba City, CA",msa
394707,"Iowa City, IA",msa
394299,"Abilene, TX",msa
